"STREET_NAME","METER_CLASS","DATE_TYPE","TIME_BAND","LAST_RATE","OCCUPANCY_PCT","PROPOSED_RATE","FINAL_RATE","ADJUSTMENT_REASON"
"101-399 TERRY A FRANCOIS BLVD","Commercial","Weekday","Open-12pm",1,,1,1,""
"101-399 TERRY A FRANCOIS BLVD","Commercial","Weekday","12pm-3pm",1,,1,1,""
"101-399 TERRY A FRANCOIS BLVD","Commercial","Weekday","3pm-6pm",1,,1,1,""
"101-399 TERRY A FRANCOIS BLVD","Commercial","Weekday","6pm-Close",0.5,,0.5,0.5,""
"101-399 TERRY A FRANCOIS BLVD","Commercial","Weekend","Open-12pm",1,,1,1,""
"101-399 TERRY A FRANCOIS BLVD","Commercial","Weekend","12pm-3pm",1,,1,1,""
"101-399 TERRY A FRANCOIS BLVD","Commercial","Weekend","3pm-6pm",1,,1,1,""
"101-399 TERRY A FRANCOIS BLVD","Commercial","Weekend","6pm-Close",0.5,,0.5,0.5,""
"101-399 TERRY A FRANCOIS BLVD","GMP","Weekday","Open-12pm",1,,1,1,""
"101-399 TERRY A FRANCOIS BLVD","GMP","Weekday","12pm-3pm",1,,1,1,""
"101-399 TERRY A FRANCOIS BLVD","GMP","Weekday","3pm-6pm",1,,1,1,""
"101-399 TERRY A FRANCOIS BLVD","GMP","Weekday","6pm-Close",0.5,,0.5,0.5,""
"101-399 TERRY A FRANCOIS BLVD","GMP","Weekend","Open-12pm",1,,1,1,""
"101-399 TERRY A FRANCOIS BLVD","GMP","Weekend","12pm-3pm",1,,1,1,""
"101-399 TERRY A FRANCOIS BLVD","GMP","Weekend","3pm-6pm",1,,1,1,""
"101-399 TERRY A FRANCOIS BLVD","GMP","Weekend","6pm-Close",0.5,,0.5,0.5,""
"501-599 TERRY A FRANCOIS BLVD","Commercial","Weekday","Open-12pm",3.25,,3,3.25,"Meter payment realization rate threshold applied"
"501-599 TERRY A FRANCOIS BLVD","Commercial","Weekday","12pm-3pm",1.5,,1.25,1.5,"Meter payment realization rate threshold applied"
"501-599 TERRY A FRANCOIS BLVD","Commercial","Weekday","3pm-6pm",0.75,,0.5,0.75,"Meter payment realization rate threshold applied"
"501-599 TERRY A FRANCOIS BLVD","Commercial","Weekday","6pm-Close",0.5,,0.25,0.5,"Meter payment realization rate threshold applied"
"501-599 TERRY A FRANCOIS BLVD","Commercial","Weekend","Open-12pm",1.25,,1,1.25,"Meter payment realization rate threshold applied"
"501-599 TERRY A FRANCOIS BLVD","Commercial","Weekend","12pm-3pm",0.5,,0.25,0.5,"Meter payment realization rate threshold applied"
"501-599 TERRY A FRANCOIS BLVD","Commercial","Weekend","3pm-6pm",0.5,,0.25,0.5,"Meter payment realization rate threshold applied"
"501-599 TERRY A FRANCOIS BLVD","Commercial","Weekend","6pm-Close",0.5,,0.25,0.5,"Meter payment realization rate threshold applied"
"501-599 TERRY A FRANCOIS BLVD","GMP","Weekday","Open-12pm",3.25,45,3,3.25,"Meter payment realization rate threshold applied"
"501-599 TERRY A FRANCOIS BLVD","GMP","Weekday","12pm-3pm",1.5,47,1.25,1.5,"Meter payment realization rate threshold applied"
"501-599 TERRY A FRANCOIS BLVD","GMP","Weekday","3pm-6pm",0.75,38,0.5,0.75,"Meter payment realization rate threshold applied"
"501-599 TERRY A FRANCOIS BLVD","GMP","Weekday","6pm-Close",0.5,36,0.25,0.5,"Meter payment realization rate threshold applied"
"501-599 TERRY A FRANCOIS BLVD","GMP","Weekend","Open-12pm",1.25,32,1,1.25,"Meter payment realization rate threshold applied"
"501-599 TERRY A FRANCOIS BLVD","GMP","Weekend","12pm-3pm",0.5,49,0.25,0.5,"Meter payment realization rate threshold applied"
"501-599 TERRY A FRANCOIS BLVD","GMP","Weekend","3pm-6pm",0.5,50,0.25,0.5,"Meter payment realization rate threshold applied"
"501-599 TERRY A FRANCOIS BLVD","GMP","Weekend","6pm-Close",0.5,48,0.25,0.5,"Meter payment realization rate threshold applied"
"501-599 TERRY A FRANCOIS BLVD","Commercial","Weekday","Open-12pm",0.75,,0.75,0.75,""
"501-599 TERRY A FRANCOIS BLVD","Commercial","Weekday","12pm-3pm",0.75,,0.75,0.75,""
"501-599 TERRY A FRANCOIS BLVD","Commercial","Weekday","3pm-6pm",0.75,,0.75,0.75,""
"501-599 TERRY A FRANCOIS BLVD","Commercial","Weekday","6pm-Close",0.5,,0.5,0.5,""
"501-599 TERRY A FRANCOIS BLVD","Commercial","Weekend","Open-12pm",0.5,,0.5,0.5,""
"501-599 TERRY A FRANCOIS BLVD","Commercial","Weekend","12pm-3pm",0.5,,0.5,0.5,""
"501-599 TERRY A FRANCOIS BLVD","Commercial","Weekend","3pm-6pm",0.5,,0.5,0.5,""
"501-599 TERRY A FRANCOIS BLVD","Commercial","Weekend","6pm-Close",0.5,,0.5,0.5,""
"501-599 TERRY A FRANCOIS BLVD","GMP","Weekday","Open-12pm",0.75,,0.75,0.75,""
"501-599 TERRY A FRANCOIS BLVD","GMP","Weekday","12pm-3pm",0.75,,0.75,0.75,""
"501-599 TERRY A FRANCOIS BLVD","GMP","Weekday","3pm-6pm",0.75,,0.75,0.75,""
"501-599 TERRY A FRANCOIS BLVD","GMP","Weekday","6pm-Close",0.5,,0.5,0.5,""
"501-599 TERRY A FRANCOIS BLVD","GMP","Weekend","Open-12pm",0.5,,0.5,0.5,""
